"Region","Year","Under.five.population","Infant.population","Population.coverage..under.5.","Population.coverage..age.0.","U5MR.median","IMR.median","CMR.median","Under.five.deaths.median","Infant.deaths.median","Child.deaths.median"
"Northern America",2015,48390843,23225515,100,100,6.56821676227681,2.32039640481553,4.25769990902301,32440,10854,21586
"Europe",2015,82457894,38457708,99.99,99.99,4.80822044017892,1.78319551207868,3.03042877509166,40554,13768,26785
"Latin America and the Caribbean",2015,107913241,54467329,100,100,12.83434835846,5.36466762356119,7.50996922364694,138988,58541,80447
"Central and Southern Asia",2015,369138305,189047883,100,100,11.4911035202032,4.94745329706321,6.57618559424037,424356,187251,237105
"Central Asia",2015,12615583,5973997,100,100,7.62384806155914,3.21294362541539,4.42512210399946,9737,3847,5890
"Southern Asia",2015,356522722,183073886,100,100,11.6291439202671,5.00400238461636,6.65846048780963,414619,183404,231215
"Eastern and South-Eastern Asia",2015,318354431,150842668,100,100,6.17152746477356,2.66759786471809,3.51330167610481,198386,80558,117828
"Eastern Asia",2015,206860811,95300162,100,100,4.20045937245128,1.57483184685773,2.62976896951662,88750,30030,58720
"South-Eastern Asia",2015,111493620,55542506,100,100,9.7884959629625,4.53979049349638,5.27264216022069,109636,50528,59108
"Northern Africa and Western Asia",2015,88178884,44243139,100,100,11.2846418049138,4.89564053728353,6.42043340165846,99573,43336,56237
"Western Asia",2015,46585029,23155699,100,100,11.3300169230167,4.80946602519486,6.55206282135615,52695,22245,30450
"Northern Africa",2015,41593855,21087440,100,100,11.228990150708,4.99025848280674,6.27002069184608,46878,21091,25787
"Sub-Saharan Africa",2015,193266471,104059636,100,100,22.588988592128,9.75359942322052,12.96181350564,436663,203929,232734
"Oceania",2015,5943954,2909402,100,100,7.87920366758499,3.58536443942913,4.30928960185354,4736,2099,2637
"Oceania (exc. Australia and New Zealand)",2015,2180241,1132310,100,100,14.9604430271733,6.66317517461128,8.35292485408514,3276,1517,1759
"Australia and New Zealand",2015,3763713,1777092,100,100,3.78547312151112,1.61931300645701,2.16967349556524,1460,582,878
"Europe, Northern America, Australia and New Zealand",2015,134612450,63460315,100,100,5.40912583830877,1.97525492194185,3.4406671110128,74454,25204,49249
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",2015,113673861,56674816,100,100,9.88719685089334,4.58225802750494,5.32935932292745,112912,52045,60867
"World",2015,1213644023,607253280,100,100,11.2831788272395,4.93407865756382,6.38058246544129,1375698,600337,775361
"Least developed countries",2016,197649645,106253810,100,100,20.8309281366665,9.30128816773223,11.6378873124914,411596,198296,213300
"Landlocked developing countries",2016,97837226,51831241,100,100,20.536936102332,9.11242341719393,11.5295750548582,200212,94520,105692
"Small island developing States",2016,11278718,5643472,100,100,12.7578890556767,5.32029153536403,7.47737935841981,14460,6019,8441
"Europe and Northern America",2016,129156255,61678646,100,100,5.3582456654141,1.96510347479762,3.39982319499063,70567,24380,46186
"Northern America",2016,48262765,23402663,100,100,6.76725477473672,2.38576771337566,4.39196527030133,33271,11254,22017
"Europe",2016,80893490,38275983,99.99,99.99,4.52357320233132,1.70779996780711,2.82059023844263,37295,13125,24169
"Latin America and the Caribbean",2016,107848081,54344269,100,100,12.8054740254672,5.30009300190894,7.5453721979414,138619,57712,80907
"Central and Southern Asia",2016,371288812,190501591,100,100,11.087175911205,4.78567273798595,6.33180512036593,411831,182568,229263
"Central Asia",2016,12384240,5834148,100,100,7.48225322182317,3.19159513529026,4.30439597578966,9386,3733,5653
"Southern Asia",2016,358904572,184667443,100,100,11.2129448931173,4.83599252239082,6.40794112609624,402445,178835,223610
"Eastern and South-Eastern Asia",2016,310480244,149076967,100,100,6.1327548204716,2.62455622833956,3.51743028569602,191934,78297,113637
"Eastern Asia",2016,199277776,93850686,100,100,4.12845545112095,1.53227160817721,2.60016800655657,83677,28783,54894
"South-Eastern Asia",2016,111202468,55226281,100,100,9.69729621157944,4.47803170976168,5.24274166524079,108257,49514,58743
"Northern Africa and Western Asia",2016,88695587,44634881,100,100,11.6403563145764,4.92679579304159,6.74680063049759,103838,44103,59735
"Western Asia",2016,46945866,23366121,100,100,12.0819100876394,4.93746816425933,7.17989241359493,57184,23138,34046
"Northern Africa",2016,41749721,21268760,100,100,11.1323103256846,4.91507086329624,6.24794857237186,46654,20965,25689
"Sub-Saharan Africa",2016,198649600,106987946,100,100,22.3053764594013,9.62755810336636,12.8010613176555,442103,206733,235370
"Oceania",2016,6008668,2933023,100,100,7.83220275327845,3.56163716872137,4.28583015654149,4764,2106,2658
"Oceania (exc. Australia and New Zealand)",2016,2218441,1152262,100,100,14.7633032925528,6.56973105623024,8.24775778679873,3291,1524,1767
"Australia and New Zealand",2016,3790227,1780761,100,100,3.78417717270685,1.61037282094674,2.17731063362722,1473,582,891
"Europe, Northern America, Australia and New Zealand",2016,132946482,63459407,100,100,5.3130623038149,1.95515061752076,3.36448977054668,72040,24962,47077
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",2016,113420909,56378543,100,100,9.79586146768285,4.52082570199001,5.2989915830361,111548,51038,60510
"World",2016,1212127247,610157323,100,100,11.2100617538472,4.87485355225447,6.36624270244523,1363658,595900,767758
"Least developed countries",2017,202637590,108812584,100,100,21.1277910529223,9.37029042357197,11.8687139257892,427681,204406,223275
"Landlocked developing countries",2017,99672996,52856759,100,100,21.165426336517,9.24809170012229,12.0285760103604,209991,97809,112182
"Small island developing States",2017,11288638,5654350,100,100,12.6615412104362,5.27050124442391,7.43020084883237,14362,5975,8387
"Europe and Northern America",2017,128010639,61763608,100,100,5.28334780538997,1.95246311580746,3.33740084162843,68746,24248,44497
"Northern America",2017,48268252,23618105,100,100,6.93883188014366,2.44766312239013,4.50218859875684,34037,11652,22385
"Europe",2017,79742387,38145503,99.99,99.99,4.28783435402935,1.64571634181658,2.646473356664,34708,12595,22112
"Latin America and the Caribbean",2017,107762338,54187837,100,100,12.743050302816,5.20034363903162,7.58213637847039,137719,56418,81301
"Central and Southern Asia",2017,373694886,192042735,100,100,10.9061734949587,4.684882056363,6.25057464358543,407570,180064,227506
"Central Asia",2017,12168201,5740306,100,100,7.29085585501743,3.13862740666149,4.16530177867546,8986,3611,5375
"Southern Asia",2017,361526685,186302429,100,100,11.0295320373578,4.73248685810705,6.32698756475241,398584,176453,222131
"Eastern and South-Eastern Asia",2017,305072538,147283460,100,100,6.06262374836419,2.57307785910103,3.49854792546926,186318,75845,110473
"Eastern Asia",2017,194526850,92476150,100,100,4.04800124592497,1.48716896699891,2.56464634137629,79943,27528,52415
"South-Eastern Asia",2017,110545688,54807310,100,100,9.58588910408686,4.4026545551035,5.20615545300316,106375,48317,58058
"Northern Africa and Western Asia",2017,89212096,45041049,100,100,11.1724238371567,4.76017960859901,6.44291365475704,100188,43012,57176
"Western Asia",2017,47175802,23532847,100,100,11.377342119586,4.71248040405577,6.69641845628279,53938,22215,31723
"Northern Africa",2017,42036294,21508202,100,100,10.9336290782033,4.81236629948419,6.15086298445816,46250,20797,25453
"Sub-Saharan Africa",2017,204042895,110049176,100,100,22.087269601222,9.5523212714044,12.6558409889034,449697,210985,238712
"Oceania",2017,6078542,2960624,100,100,7.80767165213481,3.54868603366987,4.27415324639621,4800,2113,2687
"Oceania (exc. Australia and New Zealand)",2017,2257133,1172758,100,100,14.5698692895507,6.48069962658421,8.14193509872039,3301,1527,1774
"Australia and New Zealand",2017,3821409,1787866,100,100,3.82269064412111,1.62073105030079,2.20553417153456,1499,586,913
"Europe, Northern America, Australia and New Zealand",2017,131832048,63551474,100,100,5.24042114155365,1.94313184638878,3.30370883701721,70245,24834,45410
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",2017,112802821,55980068,100,100,9.68509717711086,4.44623312101726,5.26226129656182,109676,49844,59832
"World",2017,1213873934,613328489,100,100,11.1301635160534,4.82460790806865,6.33612492641134,1355040,592686,762354
"Least developed countries",2018,207523919,111186114,100,100,20.3367366019878,8.98976389963844,11.449904641752,422592,200644,221948
"Landlocked developing countries",2018,101570881,53986259,100,100,19.4953358116001,8.50180393582948,11.0877981618226,198265,92172,106093
"Small island developing States",2018,11296397,5661383,100,100,12.602575279661,5.23058622733266,7.41075162772655,14325,5938,8387
"Europe and Northern America",2018,127293514,61891683,100,100,5.23883311567841,1.94769922339166,3.29755654059994,67637,24233,43403
"Northern America",2018,48398278,23842192,100,100,7.07633775123051,2.50376203126356,4.58405309806317,34731,12028,22703
"Europe",2018,78895236,38049491,99.99,99.99,4.11833902013226,1.59908860615884,2.52328537085998,32904,12204,20700
"Latin America and the Caribbean",2018,107529515,53906924,100,100,12.5782859557089,5.04973999912829,7.56675610756063,135545,54451,81094
"Central and Southern Asia",2018,375980903,193106266,100,100,10.6611408154488,4.57339314593253,6.11571724886468,400811,176754,224057
"Central Asia",2018,11985645,5687787,100,100,7.05739498982694,3.05889608170772,4.01076742889207,8555,3483,5072
"Southern Asia",2018,363995258,187418479,100,100,10.7814336405401,4.6193192766698,6.19071123561725,392256,173271,218985
"Eastern and South-Eastern Asia",2018,300610912,145994842,100,100,5.98652115373377,2.51715673487157,3.47811939051076,181160,73537,107623
"Eastern Asia",2018,190684467,91403405,100,100,3.98552242210792,1.44955105351827,2.53965272487254,77004,26515,50489
"South-Eastern Asia",2018,109926445,54591437,100,100,9.43960938210797,4.30211639578663,5.1596905757445,104156,47022,57134
"Northern Africa and Western Asia",2018,89851851,45521323,100,100,10.6773713647823,4.56849357387374,6.13691424419647,96667,41758,54909
"Western Asia",2018,47374304,23703128,100,100,10.5053606039323,4.40194409585723,6.13040219582617,50391,20976,29415
