"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"South-Eastern Asia","1965","42328403","22749026","41.69","39.5",,,,,,
"Northern Africa and Western Asia","1965","25059035","13855070","0","0",,,,,,
"Western Asia","1965","12669012","6897787","0","0",,,,,,
"Northern Africa","1965","12390023","6957283","0","0",,,,,,
"Sub-Saharan Africa","1965","45650627","24482400","32.9","32.31",,,,,,
"Oceania","1965","2850416","1570054","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1965","594413","318131","0","0",,,,,,
"Australia and New Zealand","1965","2256003","1251924","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1965","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1965","0","0","NaN","NaN",,,,,,
"World","1965","554344138","304120873","9.6","9.1",,,,,,
"Least developed countries","1966","51833533","27754770","36.59","35.93",,,,,,
"Landlocked developing countries","1966","26436303","14631246","7.27","6.99",,,,,,
"Small island developing States","1966","5182306","2832788","0.76","0.71",,,,,,
"Europe and Northern America","1966","128322472","72025735","0","0",,,,,,
"Northern America","1966","35298142","19546312","0","0",,,,,,
"Europe","1966","93024331","52479423","0","0",,,,,,
"Latin America and the Caribbean","1966","47040661","25969475","0","0",,,,,,
"Central and Southern Asia","1966","121733680","66461278","17.04","16.19",,,,,,
"Central Asia","1966","3926312","2358727","0","0",,,,,,
"Southern Asia","1966","117807369","64102551","17.6","16.78",,,,,,
"Eastern and South-Eastern Asia","1966","198880097","112089431","8.92","8.12",,,,,,
"Eastern Asia","1966","155398336","88414257","0","0",,,,,,
"South-Eastern Asia","1966","43481761","23675174","40.82","38.45",,,,,,
"Northern Africa and Western Asia","1966","25959578","14433748","0","0",,,,,,
"Western Asia","1966","13091131","7200854","0","0",,,,,,
"Northern Africa","1966","12868447","7232894","0","0",,,,,,
"Sub-Saharan Africa","1966","46746308","24993885","37.59","36.88",,,,,,
"Oceania","1966","2957539","1613489","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1966","608774","325782","0","0",,,,,,
"Australia and New Zealand","1966","2348765","1287707","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1966","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1966","0","0","NaN","NaN",,,,,,
"World","1966","571640333","317587040","9.8","9.2",,,,,,
"Least developed countries","1967","53141198","28434680","36.52","35.8",,,,,,
"Landlocked developing countries","1967","27296531","15168240","7.2","6.91",,,,,,
"Small island developing States","1967","5321093","2918544","0.76","0.73",,,,,,
"Europe and Northern America","1967","131647143","73179842","0","0",,,,,,
"Northern America","1967","36584974","19876563","0","0",,,,,,
"Europe","1967","95062169","53303279","0","0",,,,,,
"Latin America and the Caribbean","1967","48714378","26964513","0","0",,,,,,
"Central and Southern Asia","1967","125942514","69486151","16.79","15.76",,,,,,
"Central Asia","1967","4192108","2568658","0","0",,,,,,
"Southern Asia","1967","121750406","66917494","17.37","16.36",,,,,,
"Eastern and South-Eastern Asia","1967","207819895","118119764","8.66","7.9",,,,,,
"Eastern Asia","1967","162939425","93375243","0","0",,,,,,
"South-Eastern Asia","1967","44880470","24744521","40.08","37.72",,,,,,
"Northern Africa and Western Asia","1967","27008549","15058088","0","0",,,,,,
"Western Asia","1967","13587935","7528771","0","0",,,,,,
"Northern Africa","1967","13420614","7529317","0","0",,,,,,
"Sub-Saharan Africa","1967","47897928","25564106","37.37","36.58",,,,,,
"Oceania","1967","3057324","1636810","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1967","623157","333607","0","0",,,,,,
"Australia and New Zealand","1967","2434167","1303203","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1967","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1967","0","0","NaN","NaN",,,,,,
"World","1967","592087730","330009272","9.6","9",,,,,,
"Least developed countries","1968","54538584","29257513","36.91","36.25",,,,,,
"Landlocked developing countries","1968","28280322","15711503","7.1","6.88",,,,,,
