"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Australia and New Zealand","1960","1280112","657031","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1960","75217262","39204127","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1960","26916165","15122863","0","0",,,,,,
"World","1960","349978771","191978478","0.9","0.9",,,,,,
"Least developed countries","1961","31459269","17099147","10.13","9.99",,,,,,
"Landlocked developing countries","1961","16561769","9070464","4.7","4.59",,,,,,
"Small island developing States","1961","3306535","1801470","0.88","0.94",,,,,,
"Europe and Northern America","1961","75687174","38984378","0","0",,,,,,
"Northern America","1961","20520944","10754663","0","0",,,,,,
"Europe","1961","55166230","28229715","0","0",,,,,,
"Latin America and the Caribbean","1961","29204024","15919386","0","0",,,,,,
"Central and Southern Asia","1961","78227689","43382720","0","0",,,,,,
"Central Asia","1961","2798312","1623373","0","0",,,,,,
"Southern Asia","1961","75429377","41759348","0","0",,,,,,
"Eastern and South-Eastern Asia","1961","131105023","72670291","0","0",,,,,,
"Eastern Asia","1961","103434112","57136141","0","0",,,,,,
"South-Eastern Asia","1961","27670911","15534150","0","0",,,,,,
"Northern Africa and Western Asia","1961","17185011","9476795","0","0",,,,,,
"Western Asia","1961","8446873","4636461","0","0",,,,,,
"Northern Africa","1961","8738138","4840334","0","0",,,,,,
"Sub-Saharan Africa","1961","28137089","15252157","11.35","11.22",,,,,,
"Oceania","1961","1719309","896076","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1961","410351","227244","0","0",,,,,,
"Australia and New Zealand","1961","1308958","668833","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1961","76996132","39653210","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1961","28081262","15761394","0","0",,,,,,
"World","1961","361265317","196581801","0.9","0.9",,,,,,
"Least developed countries","1962","32315095","17614951","10.06","9.96",,,,,,
"Landlocked developing countries","1962","17112938","9351014","4.62","4.56",,,,,,
"Small island developing States","1962","3405032","1857132","0.89","0.95",,,,,,
"Europe and Northern America","1962","76709158","39419669","0","0",,,,,,
"Northern America","1962","20932045","11009397","0","0",,,,,,
"Europe","1962","55777113","28410272","0","0",,,,,,
"Latin America and the Caribbean","1962","30205409","16413714","0","0",,,,,,
"Central and Southern Asia","1962","81273202","44767691","0","0",,,,,,
"Central Asia","1962","2982532","1704577","0","0",,,,,,
"Southern Asia","1962","78290670","43063114","0","0",,,,,,
"Eastern and South-Eastern Asia","1962","135250986","73983686","0","0",,,,,,
"Eastern Asia","1962","106344843","57800585","0","0",,,,,,
"South-Eastern Asia","1962","28906143","16183101","0","0",,,,,,
"Northern Africa and Western Asia","1962","17755296","9747945","0","0",,,,,,
"Western Asia","1962","8727492","4767251","0","0",,,,,,
"Northern Africa","1962","9027804","4980694","0","0",,,,,,
"Sub-Saharan Africa","1962","28847390","15699594","11.29","11.19",,,,,,
"Oceania","1962","1753143","917449","0","0",,,,,,
