"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Eastern and South-Eastern Asia","1961","125264142","69699147","0","0",,,,,,
"Eastern Asia","1961","98154811","54590731","0","0",,,,,,
"South-Eastern Asia","1961","27109331","15108416","0","0",,,,,,
"Northern Africa and Western Asia","1961","16353558","9065713","0","0",,,,,,
"Western Asia","1961","7985729","4420084","0","0",,,,,,
"Northern Africa","1961","8367829","4645629","0","0",,,,,,
"Sub-Saharan Africa","1961","28182730","15327607","11.4","11.2",,,,,,
"Oceania","1961","1630765","853587","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1961","380757","214009","0","0",,,,,,
"Australia and New Zealand","1961","1250008","639579","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1961","74510293","38372293","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1961","27490088","15322425","0","0",,,,,,
"World","1961","347029783","189099412","0.9","0.9",,,,,,
"Least developed countries","1962","31904916","17388709","10.24","10.11",,,,,,
"Landlocked developing countries","1962","16990848","9254744","4.63","4.59",,,,,,
"Small island developing States","1962","3306500","1802365","0.9","0.96",,,,,,
"Europe and Northern America","1962","74227139","38159794","0","0",,,,,,
"Northern America","1962","20583455","10860373","0","0",,,,,,
"Europe","1962","53643684","27299421","0","0",,,,,,
"Latin America and the Caribbean","1962","29742324","16146055","0","0",,,,,,
"Central and Southern Asia","1962","76283632","42037046","0","0",,,,,,
"Central Asia","1962","2899140","1653004","0","0",,,,,,
"Southern Asia","1962","73384493","40384042","0","0",,,,,,
"Eastern and South-Eastern Asia","1962","129463312","70874626","0","0",,,,,,
"Eastern Asia","1962","101224229","55144742","0","0",,,,,,
"South-Eastern Asia","1962","28239083","15729884","0","0",,,,,,
"Northern Africa and Western Asia","1962","16887795","9309488","0","0",,,,,,
"Western Asia","1962","8268483","4547571","0","0",,,,,,
"Northern Africa","1962","8619312","4761917","0","0",,,,,,
"Sub-Saharan Africa","1962","28918435","15761362","11.32","11.18",,,,,,
"Oceania","1962","1661545","870645","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1962","392477","220129","0","0",,,,,,
"Australia and New Zealand","1962","1269068","650516","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1962","75496206","38810310","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1962","28631560","15950013","0","0",,,,,,
"World","1962","357184180","193159013","0.9","0.9",,,,,,
"Least developed countries","1963","32818254","17899470","32.23","32.6",,,,,,
"Landlocked developing countries","1963","17550371","9543143","6.92","6.86",,,,,,
"Small island developing States","1963","3402435","1853266","0.91","0.96",,,,,,
"Europe and Northern America","1963","75030367","38578877","0","0",,,,,,
"Northern America","1963","20987918","11083505","0","0",,,,,,
"Europe","1963","54042449","27495372","0","0",,,,,,
"Latin America and the Caribbean","1963","30710549","16626688","0","0",,,,,,
"Central and Southern Asia","1963","79125660","43279504","16.02","16.34",,,,,,
"Central Asia","1963","3083722","1739422","0","0",,,,,,
"Southern Asia","1963","76041938","41540083","16.67","17.02",,,,,,
"Eastern and South-Eastern Asia","1963","133232638","71583889","9.35","9.77",,,,,,
"Eastern Asia","1963","103792425","55232102","0","0",,,,,,
"South-Eastern Asia","1963","29440213","16351787","42.3","42.76",,,,,,
"Northern Africa and Western Asia","1963","17422142","9554845","0","0",,,,,,
"Western Asia","1963","8552918","4680550","0","0",,,,,,
"Northern Africa","1963","8869224","4874295","0","0",,,,,,
"Sub-Saharan Africa","1963","29726583","16214208","12.63","12.5",,,,,,
"Oceania","1963","1693904","889394","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1963","404104","226286","0","0",,,,,,
"Australia and New Zealand","1963","1289800","663108","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1963","76320166","39241985","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1963","29844317","16578073","41.72","42.17",,,,,,
"World","1963","366941841","196727404","7.9","8.2",,,,,,
"Least developed countries","1964","33818016","18436083","32.42","32.74",,,,,,
"Landlocked developing countries","1964","18135053","9857968","6.88","6.78",,,,,,
"Small island developing States","1964","3498296","1903864","2.73","2.79",,,,,,
"Europe and Northern America","1964","75728566","38929277","0","0",,,,,,
"Northern America","1964","21409935","11256821","0","0",,,,,,
"Europe","1964","54318631","27672457","0","0",,,,,,
"Latin America and the Caribbean","1964","31663387","17112693","0","0",,,,,,
"Central and Southern Asia","1964","81864079","44475831","16.12","16.54",,,,,,
"Central Asia","1964","3265136","1832120","0","0",,,,,,
"Southern Asia","1964","78598943","42643712","16.79","17.25",,,,,,
"Eastern and South-Eastern Asia","1964","135064294","70774421","12.3","13.24",,,,,,
"Eastern Asia","1964","104424715","53814665","3.46","3.88",,,,,,
"South-Eastern Asia","1964","30639579","16959756","42.42","42.94",,,,,,
"Northern Africa and Western Asia","1964","17978621","9819270","0","0",,,,,,
"Western Asia","1964","8861902","4835395","0","0",,,,,,
"Northern Africa","1964","9116720","4983875","0","0",,,,,,
"Sub-Saharan Africa","1964","30600862","16692049","32.22","31.9",,,,,,
"Oceania","1964","1730689","910772","3.66","3.81",,,,,,
"Oceania (exc. Australia and New Zealand)","1964","414703","232434","15.27","14.93",,,,,,
"Australia and New Zealand","1964","1315987","678338","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1964","77044552","39607615","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1964","31054282","17192190","42.06","42.56",,,,,,
"World","1964","374630497","198714311","10.6","11.1",,,,,,
"Least developed countries","1965","34859591","19000354","32.59","32.87",,,,,,
"Landlocked developing countries","1965","18726973","10192285","6.83","6.69",,,,,,
"Small island developing States","1965","3595665","1955559","5.37","5.39",,,,,,
"Europe and Northern America","1965","76400923","39168460","0","0",,,,,,
"Northern America","1965","21820246","11372650","0","0",,,,,,
"Europe","1965","54580677","27795810","0","0",,,,,,
"Latin America and the Caribbean","1965","32614076","17604352","0.29","0.29",,,,,,
"Central and Southern Asia","1965","84370525","45649108","16.3","16.75",,,,,,
"Central Asia","1965","3434179","1927219","0","0",,,,,,
"Southern Asia","1965","80936346","43721889","16.99","17.49",,,,,,
"Eastern and South-Eastern Asia","1965","135305901","68684477","12.83","14.17",,,,,,
"Eastern Asia","1965","103502582","51141849","3.67","4.24",,,,,,
"South-Eastern Asia","1965","31803320","17542628","42.65","43.1",,,,,,
"Northern Africa and Western Asia","1965","18562906","10112919","0","0",,,,,,
"Western Asia","1965","9195206","5009133","0","0",,,,,,
"Northern Africa","1965","9367700","5103786","0","0",,,,,,
"Sub-Saharan Africa","1965","31513873","17193666","32.09","31.75",,,,,,
"Oceania","1965","1770842","935419","3.7","3.84",,,,,,
"Oceania (exc. Australia and New Zealand)","1965","424720","238682","15.44","15.05",,,,,,
"Australia and New Zealand","1965","1346122","696738","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1965","77747045","39865197","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1965","32228040","17781310","42.29","42.72",,,,,,
"World","1965","380539044","199348400","10.9","11.5",,,,,,
"Least developed countries","1966","35932233","19591840","35.64","35.87",,,,,,
"Landlocked developing countries","1966","19328473","10534569","6.76","6.62",,,,,,
"Small island developing States","1966","3695959","2008374","20.06","19.64",,,,,,
"Europe and Northern America","1966","77107310","39375811","0","0",,,,,,
"Northern America","1966","22200007","11448395","0","0",,,,,,
"Europe","1966","54907303","27927416","0","0",,,,,,
"Latin America and the Caribbean","1966","33575089","18097192","1.9","1.87",,,,,,
"Central and Southern Asia","1966","86826222","46822551","16.49","16.98",,,,,,
"Central Asia","1966","3597189","2019970","0","0",,,,,,
"Southern Asia","1966","83229033","44802582","17.2","17.74",,,,,,
"Eastern and South-Eastern Asia","1966","134830477","66501325","17.03","19.16",,,,,,
"Eastern Asia","1966","101897099","48422293","3.9","4.63",,,,,,
"South-Eastern Asia","1966","32933378","18079032","57.65","58.07","26.4670360427901","18.0802032511423","8.54126051783115","91455","65971","25484"
"Northern Africa and Western Asia","1966","19188267","10432735","0","0",,,,,,
"Western Asia","1966","9535932","5183732","0","0",,,,,,
"Northern Africa","1966","9652335","5249004","0","0",,,,,,
"Sub-Saharan Africa","1966","32465711","17722990","40.01","39.85",,,,,,
"Oceania","1966","1815262","962540","3.74","3.85",,,,,,
"Oceania (exc. Australia and New Zealand)","1966","435399","245226","15.6","15.11",,,,,,
"Australia and New Zealand","1966","1379863","717314","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1966","78487173","40093124","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1966","33368777","18324258","57.1","57.49","26.4040032305523","18.036778642904","8.52091443515028","92452","66704","25748"
"World","1966","385808337","199915142","13.2","14.1",,,,,,
"Least developed countries","1967","37043547","20211200","40","40.21",,,,,,
"Landlocked developing countries","1967","19940590","10877517","7.32","7.17",,,,,,
"Small island developing States","1967","3798834","2061993","19.95","19.51",,,,,,
"Europe and Northern America","1967","77632393","39417208","0","0",,,,,,
"Northern America","1967","22483358","11463300","0","0",,,,,,
"Europe","1967","55149035","27953909","0","0",,,,,,
"Latin America and the Caribbean","1967","34543475","18590380","1.89","1.85",,,,,,
"Central and Southern Asia","1967","89262601","47999388","16.69","17.21",,,,,,
"Central Asia","1967","3761252","2105506","0","0",,,,,,
"Southern Asia","1967","85501349","45893882","17.42","18",,,,,,
"Eastern and South-Eastern Asia","1967","135830535","66181952","17.56","19.88",,,,,,
"Eastern Asia","1967","101780880","47600809","4.06","4.84",,,,,,
"South-Eastern Asia","1967","34049655","18581143","57.89","58.41","25.6483224365852","17.4639937288739","8.32980028769849","91350","65472","25878"
"Northern Africa and Western Asia","1967","19858958","10791913","28.81","28.92",,,,,,
"Western Asia","1967","9890152","5376348","43.28","43.37",,,,,,
"Northern Africa","1967","9968807","5415565","14.45","14.57",,,,,,
"Sub-Saharan Africa","1967","33456948","18280194","40.32","40.12",,,,,,
"Oceania","1967","1856742","986560","3.78","3.86",,,,,,
"Oceania (exc. Australia and New Zealand)","1967","446347","251827","15.71","15.12",,,,,,
"Australia and New Zealand","1967","1410396","734734","0","0",,,,,,
