"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","Under-five deaths median","Infant deaths median"
"Upper middle income","1989","117328212","24177471","100","100","54.1683165531238","42.9757810067873","1340459","1066022"
"High income","1989","39457954","7860557","100","100","12.8562107726212","10.5865029742592","102234","84033"
"Low and middle income","1989","264354035","55999318","100","100","102.116966973899","66.9624880710746","5876702","3894448"
"World","1989","309522077","65165079","100","100","92.9820904189506","61.1079950368945","6188631","4111615"
"Low income","1990","21947116","4970165","100","100","171.68156596983","98.1280981845462","879604","515807"
"Lower middle income","1990","127145443","27217119","100","100","127.117655073302","80.1054074009749","3601561","2286818"
"Upper middle income","1990","118916901","24409710","100","100","52.8259035075019","42.0157113197199","1320216","1052256"
"High income","1990","39278543","7801766","100","100","12.2224874426076","10.0597475066975","96880","79434"
"Low and middle income","1990","268009459","56596993","100","100","99.8438074941839","65.6020596278054","5801381","3854881"
"World","1990","313231065","65744225","100","100","91.0693152985794","59.929486564407","6111184","4069079"
"Low income","1991","22404841","5058754","100","100","175.035962746507","100.125763771066","920274","537642"
"Lower middle income","1991","128535356","27432184","100","100","124.160124476652","78.6014284646716","3545097","2259437"
"Upper middle income","1991","118621489","23227918","100","100","51.2607532607817","41.007550492086","1230794","974411"
"High income","1991","38981939","7680787","100","100","11.687176107698","9.62951707324974","91608","74875"
"Low and middle income","1991","269561685","55718856","100","100","99.2631005131638","65.8331006741021","5696165","3771490"
"World","1991","314722278","64789010","100","100","90.4465209560268","59.9834921097835","6002831","3982131"
"Low income","1992","22958254","5176055","100","100","173.198325595211","99.1659483428609","929419","541624"
"Lower middle income","1992","129790912","27604858","100","100","121.467060926203","77.3235358548226","3489349","2233278"
"Upper middle income","1992","115876102","21482057","100","100","49.5653689216141","39.7731474523623","1118335","876397"
"High income","1992","38581413","7510188","100","100","11.1943288453331","9.22815493252853","86020","70114"
"Low and middle income","1992","268625268","54262969","100","100","98.7291676092263","65.0937530209564","5537103","3651299"
"World","1992","313608566","63209143","100","100","89.9325098549241","59.3629220968758","5839830","3858633"
"Low income","1993","23669806","5341458","100","100","170.406409017738","97.9630049787032","935865","547838"
"Lower middle income","1993","130945493","27711420","100","100","118.929630901612","76.0534077327012","3429542","2203013"
"Upper middle income","1993","112386648","20762143","100","100","47.8730291090642","38.4937061068356","1045209","820150"
"High income","1993","38044098","7309120","100","100","10.7391437487517","8.85737237391998","80400","65356"
"Low and middle income","1993","267001947","53815020","100","100","97.321752680309","64.1824448828873","5410616","3571001"
"World","1993","311651920","62602029","100","100","88.8093903842617","58.6516651471711","5708064","3774083"
"Low income","1994","24323264","5472433","100","100","164.659158766244","95.5198493152885","925396","548545"
"Lower middle income","1994","131972921","27851672","100","100","116.41239956406","74.8107320613041","3369660","2175005"
"Upper middle income","1994","108570731","20254644","100","100","45.98935705227","37.0685545507856","976599","770737"
"High income","1994","37449047","7165962","100","100","10.3268433290478","8.53256752442762","75440","61354"
"Low and middle income","1994","264866915","53578749","100","100","95.3961553621084","63.0968584969935","5271655","3494287"
"World","1994","309125468","62258618","100","100","87.1449319908053","57.667886417583","5562572","3692319"
"Low income","1995","24979067","5610961","100","100","158.759055997659","92.7097172380056","915553","547321"
"Lower middle income","1995","132942862","28027923","100","100","113.808563246968","73.5017994155774","3308039","2147666"
"Upper middle income","1995","104152765","19854480","100","100","44.1863150884441","35.6513805984265","912910","725215"
"High income","1995","36771046","7063513","100","100","9.94141083168565","8.20980391211683","71375","58244"
"Low and middle income","1995","262074694","53493364","100","100","93.3529369714082","61.8882068222631","5136502","3420202"
"World","1995","305851949","62102761","100","100","85.3458244283431","56.6170901900133","5420846","3613437"
"Low income","1996","25751155","5771772","100","100","163.229439417713","95.5125054571681","965448","577367"
"Lower middle income","1996","133849423","28173663","100","100","110.897211606585","72.0498820872169","3234542","2113492"
"Upper middle income","1996","100529325","19480939","100","100","42.3265132504218","34.1613128323508","852978","680896"
"High income","1996","36059476","6973099","100","100","9.52628241492037","7.85880773282785","67467","55189"
"Low and middle income","1996","260129902","53426373","100","100","92.2551745061145","61.2058871117361","5052968","3371755"
"World","1996","303383927","61976295","100","100","84.3093133896756","55.9432001808336","5330038","3559859"
"Low income","1997","26479572","5885530","100","100","158.926011159118","93.502731904559","958479","575560"
"Lower middle income","1997","134724112","28329124","100","100","107.807229563552","70.4896108831442","3157594","2077726"
"Upper middle income","1997","98223352","19067733","100","100","40.4523480652725","32.6719624870359","797212","637368"
"High income","1997","35455171","6930156","100","100","9.15592414179422","7.55517557076995","64136","52578"
"Low and middle income","1997","259427036","53282386","100","100","90.004419648829","59.9089519505075","4913285","3290654"
"World","1997","302253126","61818878","100","100","82.2458135856208","54.754846341804","5183084","3473892"
"Low income","1998","27116653","5990896","100","100","161.53683411443","94.7878614153252","995152","594614"
"Lower middle income","1998","135671410","28521416","100","100","104.497875867722","68.7858223588739","3076661","2038836"
"Upper middle income","1998","96257149","18703679","100","100","38.5982310940566","31.1485460731869","746278","596452"
"High income","1998","35011670","6903707","100","100","8.85350303285959","7.31562720174113","61482","50538"
