"Region","Year","Under.five.population","Infant.population","Population.coverage..under.5.","Population.coverage..age.0.","U5MR.median","IMR.median","Under.five.deaths.median","Infant.deaths.median"
"Low income",1985,19788431,4548931,100,100,209.336839975465,123.188435434276,1000919,600251
"Lower middle income",1985,124124995,27165453,100,100,145.087771661387,99.187214438238,4128149,2851635
"Upper middle income",1985,115943802,24212911,100,100,67.9595190933155,54.8159361918927,1699346,1376972
"High income",1985,41577193,8307298,100,100,18.8952130139672,15.6735723568746,159229,131803
"Low and middle income",1985,259857227,55927294,100,100,117.896352839257,82.288096494994,6828427,4828860
"World",1985,306550999,65417526,100,100,108.697132301033,75.8230926103234,7317641,5170529
"Low income",1986,20309487,4665439,100,100,199.92090493291,118.363649329749,975839,591397
"Lower middle income",1986,126601010,27552627,100,100,141.618183402923,97.0667510292992,4086535,2826664
"Upper middle income",1986,118045534,25017078,100,100,65.4509468358759,52.9878876491895,1686042,1374977
"High income",1986,41511293,8314695,100,100,18.2996825604367,15.1886018485613,153763,127319
"Low and middle income",1986,264956031,57235144,100,100,113.993827720183,79.8154646865525,6748445,4793049
"World",1986,311700182,66769896,100,100,105.430419444604,73.7473679106452,7233025,5132197
"Low income",1987,20837752,4777122,100,100,199.469452964561,117.422661406974,997890,600570
"Lower middle income",1987,128872342,27878647,100,100,138.138878657299,94.8888144854438,4032994,2791995
"Upper middle income",1987,120182536,25889554,100,100,63.5603728463594,51.6776488411016,1685210,1384178
"High income",1987,41525912,8338361,100,100,17.6911885981762,14.6680250159483,148783,123341
"Low and middle income",1987,269892629,58545323,100,100,111.078555216176,77.9139429014818,6716136,4776753
"World",1987,316832226,68152783,100,100,101.666112209027,71.4203684848616,7109733,5065649
"Low income",1988,21333698,4872505,100,100,225.115866651703,130.731471137017,1161791,683345
"Lower middle income",1988,130882810,28140388,100,100,134.874661615047,92.883730594633,3975527,2756507
"Upper middle income",1988,122465268,26022777,100,100,62.5152565157385,50.9209995095202,1663447,1363834
