"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","NMR median","Under-five deaths median","Infant deaths median","Neonatal deaths median"
"World","2015","693244389","140268819","100","100","42.8755164514727","31.4732262378783","19.4164824760552","6096388","4489573","2793489"
"Adhoc","2016","6008834","1280968","100","100","69.3718842033517","61.9475292982151","40.4426967793266","91394","82006","54314"
"World","2016","695617763","140697132","100","100","41.7224602793027","30.610806667851","18.9419675482474","5945048","4381683","2735252"
"Adhoc","2017","6113585","1300918","100","100","67.0705673787793","60.0885284006228","39.4273275474157","89516","80485","53664"
"World","2017","695379825","139833432","100","100","40.8870066941697","30.0216786846294","18.5736642058006","5810442","4273582","2659747"
"Adhoc","2018","6228911","1322091","100","100","64.8232011210302","58.2780910875697","38.3756221095957","87816","79194","53004"
"World","2018","692015599","136956736","100","100","39.9617088465405","29.6031918988382","18.5436646355462","5569454","4115164","2595080"
"Adhoc","2019","6348414","1345413","100","100","62.7157343545629","56.566551473868","37.4430768889415","86349","78117","52593"
"World","2019","687902215","135155938","100","100","39.5658384360921","29.1979403197271","18.2799325163466","5434925","4009980","2526770"
"Adhoc","2020","6473838","1369740","100","100","60.6923210418835","54.8911736316115","36.4844952911727","84999","77118","52124"
"World","2020","680133763","131727522","100","100","39.155757850218","29.1044469163744","18.2375897680396","5260400","3892531","2450966"
"Adhoc","2021","6617196","1394560","100","100","58.7116726089787","53.229991267507","35.6078278425774","83622","76065","51716"
"World","2021","671473691","130147541","100","100","39.6077078579184","29.259557552984","18.0496033226213","5229577","3857907","2402288"
"Adhoc","2022","6650260","1403114","100","100","56.770402516455","51.5692720339017","34.7205836803595","81822","74536","50754"
"World","2022","661036002","129219679","100","100","39.9768940450624","29.3054955867515","17.8512315087886","5222373","3833691","2358912"
"Adhoc","2023","6669740","1410600","100","100","54.8650977048867","49.9259451985725","33.9040960547971","79584","72559","49779"
"World","2023","652281906","128833896","100","100","38.3343975673381","28.3613798009621","17.558478588319","4985217","3699468","2313883"
"Adhoc","2024","6789247","1435730","100","100","53.0320211332447","48.3147509339742","33.1367342827573","77768","70975","49429"
"World","2024","645810209","129091563","100","100","37.3670735317694","27.6793973455632","17.1950788042202","4857799","3619747","2271170"
