"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","Under-five deaths median","Infant deaths median"
"Europe","1961","29382275","5962316","41.39","43.19",,,,
"Northern Europe","1961","3525102","785525","92.1","92.81","28.6157077497809","24.5008416955629","21025","18111"
"Southern Europe","1961","5769202","1217044","53.14","54.15","63.2192478958266","52.3280817110149","78377","64985"
"Eastern Europe","1961","13446216","2564158","16.4","15.6",,,,
"Western Europe","1961","6641755","1395589","54.87","56.4","30.9484529571228","25.9187562745775","43588","36735"
"Oceania","1961","987364","207933","97.14","97.12","73.9160652198509","53.5136301023901","15804","11551"
"Australia and New Zealand","1961","728368","152566","100","100","27.649660048877","22.7036211411077","4075","3360"
"Melanesia","1961","227305","48624","100","100","180.683201915201","124.876349920845","11136","7762"
"Micronesia","1961","11007","2308","13.11","12.69",,,,
"Polynesia","1961","20684","4435","9.73","10.3",,,,
"Africa","1962","26871410","5969619","49.12","49.02",,,,
"Northern Africa","1962","6208296","1365065","100","100","255.773383473032","169.25526530228","395996","264464"
"Southern Africa","1962","1722043","362458","9.28","9.52",,,,
"Eastern Africa","1962","8210123","1839662","44.42","43.97",,,,
"Western Africa","1962","7782314","1743377","32.21","32.47",,,,
"Middle Africa","1962","2948634","659057","23","23.04",,,,
"Asia","1962","135290527","28704364","54.79","54.88","211.125552675158","149.382005073479","7275782","5193402"
"Eastern Asia","1962","55475337","11688345","10.74","10.26",,,,
"Central Asia","1962","2232530","478907","0","0",,,,
"Southern Asia","1962","51698149","11024516","95.93","95.98","233.488993715542","165.347878487068","3041709","2164480"
"South-Eastern Asia","1962","20002666","4258244","71.34","71.76","179.964638411118","124.997326987773","860659","605061"
"Western Asia","1962","5881845","1254352","73.08","72.95","232.688926757418","167.609618097698","358784","250522"
"Americas","1962","31532762","6580477","94.04","93.91","117.822413077529","87.7592931274718","812594","610459"
"Northern America","1962","11802166","2328314","100","100","32.5633596890348","28.1700198908187","76640","66059"
"Latin America and the Caribbean","1962","19730596","4252163","90.48","90.58","163.732164684841","119.625874009158","754606","557673"
"Central America","1962","5132533","1093713","97.15","97.03","157.280487083391","111.597545644265","189968","136777"
"South America","1962","13122268","2833103","90.91","91.42","164.652804688676","122.232074405104","500759","375351"
"Caribbean","1962","1475795","325347","63.44","61.53","185.846590852476","129.369448978829","66714","47226"
"Europe","1962","29406400","5930533","41.82","43.42",,,,
"Northern Europe","1962","3627136","797825","92.24","92.94","27.9430012882457","23.9394957533298","20855","17964"
"Southern Europe","1962","5856939","1232255","53.38","54.39","60.4565788193175","50.3947670892537","75369","62919"
"Eastern Europe","1962","13141969","2474631","16.02","14.84",,,,
"Western Europe","1962","6780356","1425822","54.87","55.83","29.6184516070462","24.7839866226945","42274","35575"
"Oceania","1962","1003115","208862","97.08","97","71.873953476999","52.1908316901374","15519","11378"
"Australia and New Zealand","1962","738630","152264","100","100","26.9242329550308","22.1481412777887","4000","3302"
"Melanesia","1962","231700","49586","100","100","174.906040854847","121.261710605292","10941","7652"
"Micronesia","1962","11284","2381","13.19","12.85",,,,
"Polynesia","1962","21501","4631","9.53","9.63",,,,
"Africa","1963","27537702","6127037","52.03","51.91","250.811080072707","157.952271662287",,
"Northern Africa","1963","6362090","1399183","100","100","249.344738145992","164.870097027399","393273","262586"
"Southern Africa","1963","1759322","371534","9.31","9.56",,,,
"Eastern Africa","1963","8436784","1894834","44.56","44.12",,,,
"Western Africa","1963","7956903","1783131","42.02","42.19",,,,
"Middle Africa","1963","3022603","678355","23.1","23.17",,,,
