"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Australia and New Zealand","1961","906162","491704","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1961","60185796","28584410","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1961","20097739","10403500","0","0",,,,,,
"World","1961","248437002","126932087","2.7","2.8",,,,,,
"Least developed countries","1962","23519058","12644838","10.28","10.29",,,,,,
"Landlocked developing countries","1962","12061548","6208532","5.18","5.42",,,,,,
"Small island developing States","1962","2354611","1250863","0.89","0.86",,,,,,
"Europe and Northern America","1962","59872177","29114258","0","0",,,,,,
"Northern America","1962","14854647","8180790","0","0",,,,,,
"Europe","1962","45017530","20933468","0","0",,,,,,
"Latin America and the Caribbean","1962","20378760","11056547","0","0",,,,,,
"Central and Southern Asia","1962","53767840","28118758","8.15","8.46",,,,,,
"Central Asia","1962","1779650","720791","0","0",,,,,,
"Southern Asia","1962","51988190","27397967","8.43","8.68",,,,,,
"Eastern and South-Eastern Asia","1962","84824532","44402375","0","0",,,,,,
"Eastern Asia","1962","64732935","33960115","0","0",,,,,,
"South-Eastern Asia","1962","20091597","10442260","0","0",,,,,,
"Northern Africa and Western Asia","1962","11349996","5983319","0","0",,,,,,
"Western Asia","1962","5737208","2934694","0","0",,,,,,
"Northern Africa","1962","5612789","3048625","0","0",,,,,,
"Sub-Saharan Africa","1962","21369876","11461733","11.33","11.37",,,,,,
"Oceania","1962","1219148","664723","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1962","263314","138437","0","0",,,,,,
"Australia and New Zealand","1962","955834","526286","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1962","60828011","29640544","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1962","20354911","10580697","0","0",,,,,,
"World","1962","252782326","130801710","2.7","2.8",,,,,,
"Least developed countries","1963","24040747","12933790","32.1","31.98",,,,,,
"Landlocked developing countries","1963","12266673","6434637","7.39","7.59",,,,,,
"Small island developing States","1963","2395895","1281478","0.87","0.83",,,,,,
"Europe and Northern America","1963","60624283","30682313","0","0",,,,,,
"Northern America","1963","15626240","8601128","0","0",,,,,,
"Europe","1963","44998044","22081185","0","0",,,,,,
"Latin America and the Caribbean","1963","21030937","11460902","0","0",,,,,,
"Central and Southern Asia","1963","54552725","28765451","17.3","17.64",,,,,,
"Central Asia","1963","1760878","792100","0","0",,,,,,
"Southern Asia","1963","52791847","27973351","17.88","18.13",,,,,,
